week	unique_name	time_hours	OD	curve_id	biomass	biomass_ml
1	NQ old YPD_rep_A	0.5	0.585	curve_1	5754869	28774345
1	NQ old YPD_rep_A	1	0.5715	curve_1	5545431	27727155
1	NQ old YPD_rep_A	1.5	0.583	curve_1	5723884	28619420
1	NQ old YPD_rep_A	2	0.623	curve_1	6339194	31695970
1	NQ old YPD_rep_A	2.5	0.6775	curve_1	7153202	35766010
1	NQ old YPD_rep_A	3	0.7395	curve_1	8022604	40113020
1	NQ old YPD_rep_A	3.5	0.8085	curve_1	8885966	44429830
1	NQ old YPD_rep_A	4	0.872	curve_1	9550982	47754910
1	NQ old YPD_rep_A	4.5	0.9185	curve_1	9941016	49705080
1	NQ old YPD_rep_A	5	0.964	curve_1	10230382	51151910
1	NQ old YPD_rep_A	5.5	1.0075	curve_1	10411251	52056255
1	NQ old YPD_rep_A	6	1.0545	curve_1	10489945	52449725
1	NQ old YPD_rep_A	6.5	1.063	curve_1	10490302	52451510
1	NQ old YPD_rep_A	7	1.061	curve_1	10490614	52453070
1	NQ old YPD_rep_A	7.5	1.04	curve_1	10479311	52396555
1	NQ old YPD_rep_A	8	1.0915	curve_1	10458724	52293620
1	NQ old YPD_rep_A	8.5	1.0715	curve_1	10486225	52431125
1	NQ old YPD_rep_A	9	1.0595	curve_1	10490688	52453440
1	NQ old YPD_rep_A	9.5	1.0945	curve_1	10452388	52261940
1	NQ old YPD_rep_A	10	1.0615	curve_1	10490559	52452795
1	NQ old YPD_rep_A	10.5	1.0515	curve_1	10488774	52443870
1	NQ old YPD_rep_A	11	1.085	curve_1	10470458	52352290
1	NQ old YPD_rep_A	11.5	1.065	curve_1	10489744	52448720
1	NQ old YPD_rep_A	12	1.066	curve_1	10489373	52446865
1	NQ old YPD_rep_A	12.5	1.078	curve_1	10480071	52400355
1	NQ old YPD_rep_A	13	1.101	curve_1	10436644	52183220
1	NQ old YPD_rep_A	13.5	1.1	curve_1	10439247	52196235
1	NQ old YPD_rep_A	14	1.101	curve_1	10436644	52183220
1	NQ old YPD_rep_A	14.5	1.1025	curve_1	10432617	52163085
1	NQ old YPD_rep_A	15	1.102	curve_1	10433976	52169880
1	NQ old YPD_rep_A	15.5	1.1045	curve_1	10427016	52135080
1	NQ old YPD_rep_A	16	1.106	curve_1	10422641	52113205
1	NQ old YPD_rep_A	16.5	1.107	curve_1	10419641	52098205
1	NQ old YPD_rep_A	17	1.1085	curve_1	10415017	52075085
1	NQ old YPD_rep_A	17.5	1.108	curve_1	10416575	52082875
1	NQ old YPD_rep_A	18	1.108	curve_1	10416575	52082875
1	NQ old YPD_rep_A	18.5	1.111	curve_1	10406975	52034875
1	NQ old YPD_rep_A	19	1.1085	curve_1	10415017	52075085
1	NQ old YPD_rep_A	19.5	1.113	curve_1	10400240	52001200
1	NQ old YPD_rep_A	20	1.111	curve_1	10406975	52034875
1	NQ old YPD_rep_A	20.5	1.112	curve_1	10403641	52018205
1	NQ old YPD_rep_A	21	1.112	curve_1	10403641	52018205
1	NQ old YPD_rep_A	21.5	1.112	curve_1	10403641	52018205
1	NQ old YPD_rep_A	22	1.1165	curve_1	10387805	51939025
1	NQ old YPD_rep_A	22.5	1.1155	curve_1	10391442	51957210
1	NQ old YPD_rep_A	23	1.115	curve_1	10393236	51966180
1	NQ old YPD_rep_A	23.5	1.1155	curve_1	10391442	51957210
1	NQ old YPD_rep_A	24	1.119	curve_1	10378415	51892075
1	NQ old YPD_rep_B	0.5	0.6445	curve_2	6664539	33322695
1	NQ old YPD_rep_B	1	0.648	curve_2	6717032	33585160
1	NQ old YPD_rep_B	1.5	0.6455	curve_2	6679551	33397755
1	NQ old YPD_rep_B	2	0.683	curve_2	7233133	36165665
1	NQ old YPD_rep_B	2.5	0.735	curve_2	7962107	39810535
1	NQ old YPD_rep_B	3	0.7955	curve_2	8733403	43667015
1	NQ old YPD_rep_B	3.5	0.86	curve_2	9436304	47181520
1	NQ old YPD_rep_B	4	0.921	curve_2	9959390	49796950
1	NQ old YPD_rep_B	4.5	0.9695	curve_2	10258633	51293165
1	NQ old YPD_rep_B	5	1.0125	curve_2	10425588	52127940
1	NQ old YPD_rep_B	5.5	1.0555	curve_2	10490215	52451075
1	NQ old YPD_rep_B	6	1.1	curve_2	10439247	52196235
1	NQ old YPD_rep_B	6.5	1.1165	curve_2	10387805	51939025
1	NQ old YPD_rep_B	7	1.0995	curve_2	10440524	52202620
1	NQ old YPD_rep_B	7.5	1.0895	curve_2	10462625	52313125
1	NQ old YPD_rep_B	8	1.1245	curve_2	10356257	51781285
1	NQ old YPD_rep_B	8.5	1.122	curve_2	10366585	51832925
1	NQ old YPD_rep_B	9	1.1235	curve_2	10360440	51802200
1	NQ old YPD_rep_B	9.5	1.1425	curve_2	10269105	51345525
1	NQ old YPD_rep_B	10	1.135	curve_2	10308168	51540840
1	NQ old YPD_rep_B	10.5	1.114	curve_2	10396772	51983860
1	NQ old YPD_rep_B	11	1.148	curve_2	10237928	51189640
1	NQ old YPD_rep_B	11.5	1.1365	curve_2	10300672	51503360
1	NQ old YPD_rep_B	12	1.1345	curve_2	10310632	51553160
1	NQ old YPD_rep_B	12.5	1.126	curve_2	10349854	51749270
1	NQ old YPD_rep_B	13	1.145	curve_2	10255201	51276005
1	NQ old YPD_rep_B	13.5	1.133	curve_2	10317918	51589590
1	NQ old YPD_rep_B	14	1.134	curve_2	10313078	51565390
1	NQ old YPD_rep_B	14.5	1.1355	curve_2	10305687	51528435
1	NQ old YPD_rep_B	15	1.112	curve_2	10403641	52018205
1	NQ old YPD_rep_B	15.5	1.135	curve_2	10308168	51540840
1	NQ old YPD_rep_B	16	1.144	curve_2	10260816	51304080
1	NQ old YPD_rep_B	16.5	1.1295	curve_2	10334311	51671555
1	NQ old YPD_rep_B	17	1.1355	curve_2	10305687	51528435
1	NQ old YPD_rep_B	17.5	1.1435	curve_2	10263596	51317980
1	NQ old YPD_rep_B	18	1.1355	curve_2	10305687	51528435
1	NQ old YPD_rep_B	18.5	1.1315	curve_2	10325048	51625240
1	NQ old YPD_rep_B	19	1.1125	curve_2	10401949	52009745
1	NQ old YPD_rep_B	19.5	1.12	curve_2	10374540	51872700
1	NQ old YPD_rep_B	20	1.1515	curve_2	10216964	51084820
1	NQ old YPD_rep_B	20.5	1.1425	curve_2	10269105	51345525
1	NQ old YPD_rep_B	21	1.1035	curve_2	10429850	52149250
1	NQ old YPD_rep_B	21.5	1.103	curve_2	10431242	52156210
1	NQ old YPD_rep_B	22	1.1345	curve_2	10310632	51553160
1	NQ old YPD_rep_B	22.5	1.115	curve_2	10393236	51966180
1	NQ old YPD_rep_B	23	1.1295	curve_2	10334311	51671555
1	NQ old YPD_rep_B	23.5	1.124	curve_2	10358357	51791785
1	NQ old YPD_rep_B	24	1.136	curve_2	10303188	51515940
1	S old YPD_rep_B	0.5	0.5735	curve_3	5576497	27882485
1	S old YPD_rep_B	1	0.6245	curve_3	6362039	31810195
1	S old YPD_rep_B	1.5	0.6355	curve_3	6528923	32644615
1	S old YPD_rep_B	2	0.681	curve_3	7204122	36020610
1	S old YPD_rep_B	2.5	0.7345	curve_3	7955357	39776785
1	S old YPD_rep_B	3	0.7965	curve_3	8745319	43726595
1	S old YPD_rep_B	3.5	0.8605	curve_3	9441191	47205955
1	S old YPD_rep_B	4	0.9205	curve_3	9955737	49778685
1	S old YPD_rep_B	4.5	0.966	curve_3	10240829	51204145
1	S old YPD_rep_B	5	1.0095	curve_3	10417151	52085755
1	S old YPD_rep_B	5.5	1.055	curve_3	10490087	52450435
1	S old YPD_rep_B	6	1.097	curve_3	10446660	52233300
1	S old YPD_rep_B	6.5	1.093	curve_3	10455629	52278145
