"time","CFU","curve_id"
0,4537649,"curve 1"
0.5,4906523.0637597,"curve 1"
1,4537649,"curve 1"
1.5,4537649,"curve 1"
2,4537649,"curve 1"
2.5,4537649,"curve 1"
3,4537649,"curve 1"
3.5,43906676.1606852,"curve 1"
4,97415561.0516638,"curve 1"
4.5,166965689.512431,"curve 1"
5,535858024.608398,"curve 1"
5.5,448393338.263182,"curve 1"
6,1000742376.5262,"curve 1"
6.5,1298276772.2541,"curve 1"
7,1630283687.62215,"curve 1"
7.5,1902364150.89479,"curve 1"
8,2209083478.00419,"curve 1"
8.5,2244535977.0949,"curve 1"
9,2202519793.20426,"curve 1"
9.5,2239752476.0777,"curve 1"
10,2395336202.63708,"curve 1"
10.5,2216353409.12992,"curve 1"
11,2420923434.03716,"curve 1"
11.5,2240332898.65393,"curve 1"
12,2420161400.06999,"curve 1"
12.5,2425963184.53328,"curve 1"
13,2262417765.45384,"curve 1"
13.5,2487644529.89521,"curve 1"
14,2322792931.22787,"curve 1"
14.5,2347770128.47782,"curve 1"
15,2357856465.55527,"curve 1"
15.5,2384803475.901,"curve 1"
16,2447446050.36864,"curve 1"
16.5,2150147597.6321,"curve 1"
17,2298595685.58513,"curve 1"
17.5,2336232716.92512,"curve 1"
18,2126902436.32376,"curve 1"
18.5,2359795162.03053,"curve 1"
19,2185984105.42802,"curve 1"
19.5,2395895468.82819,"curve 1"
20,2227890446.71087,"curve 1"
20.5,2385965171.36169,"curve 1"
21,2367537579.44817,"curve 1"
21.5,2365189218.63202,"curve 1"
22,2335614349.9911,"curve 1"
22.5,2214833516.33404,"curve 1"
23,2441038992.66318,"curve 1"
23.5,2402782318.63095,"curve 1"
24,2441627200.61537,"curve 1"
0,4537649,"curve 2"
0.5,4537649,"curve 2"
1,4537649,"curve 2"
1.5,4537649,"curve 2"
2,4537649,"curve 2"
2.5,4537649,"curve 2"
3,9343252.7637216,"curve 2"
3.5,49580134.0548608,"curve 2"
4,103298444.536808,"curve 2"
4.5,4537649,"curve 2"
5,615195734.38271,"curve 2"
5.5,536542472.329612,"curve 2"
6,910112244.59753,"curve 2"
6.5,1209740047.26772,"curve 2"
7,1633813124.73991,"curve 2"
7.5,2252007450.74639,"curve 2"
8,2431806348.58064,"curve 2"
8.5,2434645162.28819,"curve 2"
9,2440790267.59828,"curve 2"
9.5,2230170519.82449,"curve 2"
10,2472997846.01394,"curve 2"
10.5,2701304254.34589,"curve 2"
11,2346792920.96875,"curve 2"
11.5,2316283012.35005,"curve 2"
12,1878906290.42182,"curve 2"
12.5,2831396639.40897,"curve 2"
13,2289709948.88091,"curve 2"
13.5,2317940067.16237,"curve 2"
14,2239259230.91114,"curve 2"
14.5,2560835679.94888,"curve 2"
15,2713087775.17074,"curve 2"
15.5,2321042011.31008,"curve 2"
16,2296013550.31463,"curve 2"
16.5,2141788787.5606,"curve 2"
17,2468595042.00095,"curve 2"
17.5,2856028985.71826,"curve 2"
18,2017923889.39475,"curve 2"
18.5,2215430511.28311,"curve 2"
19,1849927072.82522,"curve 2"
19.5,2451369619.64746,"curve 2"
20,2256955967.73277,"curve 2"
20.5,2533721265.57309,"curve 2"
21,2460804296.77171,"curve 2"
21.5,2383830500.67799,"curve 2"
22,2493156056.97397,"curve 2"
22.5,2446193789.17434,"curve 2"
23,2328131859.13785,"curve 2"
23.5,1888668835.13181,"curve 2"
24,2310846941.89793,"curve 2"
0,4537649,"curve 3"
0.5,4704499.12402337,"curve 3"
1,4537649,"curve 3"
1.5,4537649,"curve 3"
2,4537649,"curve 3"
2.5,4537649,"curve 3"
3,4537649,"curve 3"
3.5,36054257.555687,"curve 3"
4,89100242.4833044,"curve 3"
4.5,4537649,"curve 3"
5,715910264.033331,"curve 3"
5.5,131189812.493165,"curve 3"
6,547630239.285467,"curve 3"
6.5,1461886606.6949,"curve 3"
7,1603143848.76161,"curve 3"
7.5,1669272874.63282,"curve 3"
8,2166805218.54639,"curve 3"
8.5,2221127834.92012,"curve 3"
9,2064827768.8391,"curve 3"
9.5,2164052570.10081,"curve 3"
10,2881158401.12051,"curve 3"
10.5,2116779987.9891,"curve 3"
11,2126554577.63337,"curve 3"
11.5,2512943615.31971,"curve 3"
12,2746427056.79839,"curve 3"
12.5,1730986287.1223,"curve 3"
13,1899924584.28849,"curve 3"
13.5,2504431634.93487,"curve 3"
14,2269476342.06551,"curve 3"
14.5,2230334810.10258,"curve 3"
15,2179192277.91035,"curve 3"
15.5,1904373720.06813,"curve 3"
16,2515307441.54251,"curve 3"
16.5,1576375687.95649,"curve 3"
17,1837158402.17005,"curve 3"
17.5,2269536568.43763,"curve 3"
18,2035518560.17903,"curve 3"
18.5,2546372115.30448,"curve 3"
19,2174758506.94828,"curve 3"
19.5,2316571535.1925,"curve 3"
20,2722514113.62565,"curve 3"
20.5,2664076006.46094,"curve 3"
21,2669895172.93,"curve 3"
21.5,2369807475.23908,"curve 3"
22,2597820477.01343,"curve 3"
22.5,2170755227.85091,"curve 3"
23,2256685104.30345,"curve 3"
23.5,2434501166.64575,"curve 3"
24,2610307516.41376,"curve 3"
